序号,电影名,评分,推荐语,链接
40,哈尔的移动城堡/ハウルの動く城/呼啸山城/霍尔的移动城堡,9.0,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
41,罗马假日/RomanHoliday/金枝玉叶(港)/罗马假期(台),9.0,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
42,闻香识女人/ScentofaWoman/女人香/女人的芳香,9.0,史上最美的探戈。,https://movie.douban.com/subject/1298624/
43,辩护人/변호인/逆权大状(港)/正义辩护人(台),9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
44,末代皇帝/TheLastEmperor/末代皇帝溥仪(港),9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
45,窃听风暴/DasLebenderAnderen/窃听者(港)/他人的生活,9.1,别样人生。,https://movie.douban.com/subject/1900841/
46,寻梦环游记/Coco/可可夜总会(台)/玩转极乐园(港),9.0,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
47,"两杆大烟枪/Lock,StockandTwoSmokingBarrels/够姜四小强(港)/两根枪管(台)",9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
48,素媛/소원/许愿/希望：为爱重生(台),9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
49,死亡诗社/DeadPoetsSociety/暴雨骄阳(港)/春风化雨(台),9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
50,飞越疯人院/OneFlewOvertheCuckoo'sNest/飞越杜鹃窝(台)/飞越喜鹊巢,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
51,指环王2：双塔奇兵/TheLordoftheRings:TheTwoTowers/魔戒二部曲：双城奇谋/指环王II：双塔,9.0,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
52,教父2/TheGodfather:PartⅡ/教父续集/教父II,9.2,优雅的孤独。,https://movie.douban.com/subject/1299131/
53,V字仇杀队/VforVendetta/V煞(港)/V怪客(台),8.9,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
54,指环王1：魔戒再现/TheLordoftheRings:TheFellowshipoftheRing/魔戒首部曲：魔戒现身/指环王I：护戒使者,9.0,传说的开始。,https://movie.douban.com/subject/1291571/
55,狮子王/TheLionKing/狮子王3D,9.0,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
56,饮食男女/飲食男女/EatDrinkManWoman,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
57,美丽心灵/ABeautifulMind/有你终生美丽(港)/美丽境界(台),9.0,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
58,海豚湾/TheCove/血色海湾(台)/海湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
59,情书/LoveLetter/WhenICloseMyEyes/LettersofLove,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
60,钢琴家/ThePianist/战地琴声(台)/战地琴人,9.1,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
61,本杰明·巴顿奇事/TheCuriousCaseofBenjaminButton/奇幻逆缘(港)/班杰明的奇幻旅程(台),8.8,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
62,看不见的客人/Contratiempo/佈局(台)/死无对证(港),8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
63,美国往事/OnceUponaTimeinAmerica/四海兄弟(台)/义薄云天(港),9.1,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
64,黑客帝国/TheMatrix/廿二世纪杀人网络(港)/骇客任务(台),8.9,视觉革命。,https://movie.douban.com/subject/1291843/
65,西西里的美丽传说/Malèna/真爱伴我行(台)/玛莲娜,8.8,美丽无罪。,https://movie.douban.com/subject/1292402/
66,哈利·波特与魔法石/HarryPotterandtheSorcerer'sStone/哈利波特1：神秘的魔法石(港/台),8.9,童话世界的开端。,https://movie.douban.com/subject/1295038/
67,小鞋子/بچههایآسمان/天堂的孩子/小童鞋,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
68,大闹天宫/大闹天宫上下集/TheMonkeyKing,9.3,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
69,拯救大兵瑞恩/SavingPrivateRyan/雷霆救兵(港)/抢救雷恩大兵(台),9.0,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
70,让子弹飞/让子弹飞一会儿/火烧云,8.8,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
71,致命魔术/ThePrestige/顶尖对决(台)/死亡魔法(港),8.8,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
72,七宗罪/Se7en/火线追缉令(台)/7宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
73,音乐之声/TheSoundofMusic/仙乐飘飘处处闻(港)/真善美(台),9.0,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
74,被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)/令人讨厌的松子的一生(台),8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
75,低俗小说/PulpFiction/黑色追緝令(台)/危险人物(港),8.8,故事的高级讲法。,https://movie.douban.com/subject/1291832/
76,猫鼠游戏/CatchMeIfYouCan/逍遥法外/神鬼交锋(台),8.9,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
77,沉默的羔羊/TheSilenceoftheLambs/沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
78,天使爱美丽/Lefabuleuxdestind'AméliePoulain/艾蜜莉的异想世界(台)/天使艾米莉,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/
79,勇敢的心/Braveheart/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/
80,蝴蝶效应/TheButterflyEffect/蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
81,剪刀手爱德华/EdwardScissorhands/幻海奇缘(港)/剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
82,春光乍泄/春光乍洩/一起快乐/HappyTogether,8.9,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
83,心灵捕手/GoodWillHunting/骄阳似我(港)/心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
84,禁闭岛/ShutterIsland/不赦岛(港)/隔离岛(台),8.7,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
85,穿条纹睡衣的男孩/TheBoyintheStripedPajamas/穿条纹衣服的男孩/穿条纹衣的男孩,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
86,布达佩斯大饭店/TheGrandBudapestHotel/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),8.8,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
87,入殓师/おくりびと/礼仪师之奏鸣曲(港)/礼仪师(台),8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
88,阿凡达/Avatar/天神下凡(港)/化身,8.7,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
89,幽灵公主/もののけ姫/魔法公主/幽灵少女,8.9,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
90,阳光灿烂的日子/IntheHeatoftheSun,8.8,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
91,致命ID/Identity/杀人游戏/致命身份,8.7,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,加勒比海盗/PiratesoftheCaribbean:TheCurseoftheBlackPearl/加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),8.7,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
93,第六感/TheSixthSense/灵异第六感/鬼眼,8.8,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
94,断背山/BrokebackMountain/断臂山/BBM,8.7,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
95,"摩登时代/ModernTimes/TheMasses/Tempsmodernes,Les",9.2,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
96,重庆森林/重慶森林/ChungkingExpress,8.7,寂寞没有期限。,https://movie.douban.com/subject/1291999/
97,狩猎/Jagten/谎言的烙印(台)/诬网(港),9.1,人言可畏。,https://movie.douban.com/subject/6985810/
98,玛丽和马克思/MaryandMax/巧克力情缘(台)/同是天涯寂寞客,8.9,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
99,喜剧之王/喜劇之王/KingofComedy,8.7,我是一个演员。,https://movie.douban.com/subject/1302425/
100,告白/自白/母亲,8.7,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
101,消失的爱人/GoneGirl/失踪的女孩/失踪女孩,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/
102,大鱼/BigFish/大鱼奇缘(港)/大智若鱼(台),8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
103,一一/Yiyi/Yiyi:AOneandaTwo,9.0,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
104,射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄(日本),8.7,百看不厌。 ,https://movie.douban.com/subject/1316510/
105,阳光姐妹淘/써니/阳光姊妹淘(港)/桑尼,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
106,爱在黎明破晓前/BeforeSunrise/情留半天(港)/爱在黎明破晓时(台),8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
107,甜蜜蜜/Comrades:AlmostaLoveStory,8.8,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
108,小森林夏秋篇/リトル・フォレスト夏・秋/小森食光/夏秋篇(台),9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
109,请以你的名字呼唤我/CallMebyYourName/以你的名字呼唤我(港/台),8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
110,侧耳倾听/耳をすませば/心之谷/梦幻街少女,8.8,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
111,驯龙高手/HowtoTrainYourDragon/驯龙记(港),8.7,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
112,红辣椒/パプリカ/盗梦侦探/帕布莉卡,8.9,梦的勾结。,https://movie.douban.com/subject/1865703/
113,倩女幽魂/倩女幽魂(87版)/倩女幽魂：妖魔道,8.7,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
114,恐怖直播/더테러라이브/死亡“动”新闻(港)/恐怖攻击直播(台),8.7,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
115,风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,8.8,动画片的圣经。,https://movie.douban.com/subject/1291585/
116,超脱/Detachment/人间师格(台),8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
117,爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台),8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
118,上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),8.9,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
119,菊次郎的夏天/菊次郎の夏/Kikujirônonatsu/菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
120,小森林冬春篇/リトル・フォレスト冬・春/小森食光/冬春篇(台),9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
121,哈利·波特与死亡圣器(下)/HarryPotterandtheDeathlyHallows:Part2/哈利波特7：死神的圣物2(港/台),8.7,10年的完美句点。,https://movie.douban.com/subject/3011235/
122,幸福终点站/TheTerminal/机场客运站(港)/航站情缘(台),8.7,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
123,7号房的礼物/7번방의선물/戆爸的礼物(港)/7号囚房的礼物,8.8,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
124,杀人回忆/살인의추억/谋杀回忆/杀手回忆录,8.7,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
125,借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),8.7,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
126,神偷奶爸/DespicableMe/卑鄙的我/坏蛋奖门人(港),8.5,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
127,蝙蝠侠：黑暗骑士崛起/TheDarkKnightRises/蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),8.7,诺兰就是保证。,https://movie.douban.com/subject/3395373/
128,萤火之森/蛍火の杜へ/萤火之社/Hotarubinomorie,8.8,触不到的恋人。,https://movie.douban.com/subject/5989818/
129,唐伯虎点秋香/唐伯虎點秋香/FlirtingScholar,8.5,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
130,超能陆战队/BigHero6/大英雄联盟(港)/大英雄天团(台),8.6,Balalala~~~,https://movie.douban.com/subject/11026735/
131,"怪兽电力公司/Monsters,Inc./怪兽公司(港)/怪物公司",8.6,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
132,岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
133,无人知晓/誰も知らない/谁知赤子心(港)/无人知晓的夏日清晨(台),9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
134,电锯惊魂/Saw/夺魂锯(台)/恐惧斗室(港),8.7,真相就在眼前。,https://movie.douban.com/subject/1417598/
135,七武士/七人の侍/七侠四义(港)/TheSevenSamurai,9.2,时代悲歌。,https://movie.douban.com/subject/1295399/
136,谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),8.8,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
137,真爱至上/LoveActually/爱是您，爱是我(台)/真的恋爱了(港),8.6,爱，是个动词。,https://movie.douban.com/subject/1292401/
138,疯狂原始人/TheCroods/古鲁家族(港/台),8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
139,喜宴/囍宴/TheWeddingBanquet,8.9,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
140,英雄本色/ABetterTomorrow/GanglandBoss,8.7,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
141,东邪西毒/東邪西毒/AshesofTime,8.6,电影诗。,https://movie.douban.com/subject/1292328/
142,萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
143,贫民窟的百万富翁/SlumdogMillionaire/贫民百万富翁(台)/一百万零一夜(港),8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
144,血战钢锯岭/HacksawRidge/钢锯岭/钢铁英雄(台),8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
145,黑天鹅/BlackSwan/夺命黑天鹅/霸王别鹅(豆友译名),8.5,黑暗之美。,https://movie.douban.com/subject/1978709/
146,记忆碎片/Memento/失忆/记忆拼图(台),8.6,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
147,傲慢与偏见/Pride&Prejudice/傲慢与偏见2005/PrideAndPrejudice,8.5,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
148,时空恋旅人/AboutTime/时空旅恋人/回到最爱的一天(港),8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
149,心迷宫/殡棺/TheCoffinintheMountain,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
150,纵横四海/緃横四海/OnceaThief,8.8,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
151,荒蛮故事/Relatossalvajes/蛮荒故事/生命中最抓狂的小事(台),8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
152,雨人/RainMan/手足情未了/手足情深,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
153,教父3/TheGodfather:PartIII/教父第三集/教父III,8.8,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
154,达拉斯买家俱乐部/DallasBuyersClub/续命枭雄(港)/药命俱乐部(台),8.7,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
155,完美的世界/APerfectWorld/强盗保镳,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
156,玩具总动员3/ToyStory3/反斗奇兵3(港)/玩具的故事3,8.8,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
157,花样年华/花樣年華/IntheMoodforLove,8.6,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
158,卢旺达饭店/HotelRwanda/卢安达饭店(台),8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
159,何以为家/كفرناحوم/迦百农/星仔打官司(港),9.0,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
160,海蒂和爷爷/Heidi/飘零燕(港)/海蒂,9.1,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
161,海边的曼彻斯特/ManchesterbytheSea/情系海边之城(港),8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
162,被解救的姜戈/DjangoUnchained/被解放的姜戈/决杀令(台),8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
163,"三块广告牌/ThreeBillboardsOutsideEbbing,Missouri/意外(台)/广告牌杀人事件(港)",8.7,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
164,恋恋笔记本/TheNotebook/深情日记/写我情真,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
165,你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)/你看上去好像很好吃,8.8,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
166,海洋/Océans/Oceans/海洋,9.0,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
167,虎口脱险/Lagrandevadrouille/横冲直撞出重围(港)/大進擊(台),8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
168,头脑特工队/InsideOut/玩转脑朋友(港)/脑筋急转弯(台),8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
169,你的名字。/君の名は。/你的名字/君之名,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
170,二十二/TwentyTwo/22,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
171,无敌破坏王/Wreck-ItRalph/破坏王拉尔夫/破坏王大冒险,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
172,冰川时代/IceAge/冰河世纪/冰原历险记,8.5,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
173,我是山姆/IAmSam/不一样的爸爸(港)/他不笨，他是我爸爸(台),8.9,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
174,雨中曲/Singin'intheRain/雨中情/万花嬉春,9.0,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
175,燃情岁月/LegendsoftheFall/秋日传奇/真爱一世情(台),8.8,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
176,爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
177,未麻的部屋/PerfectBlue/蓝色的恐惧/蓝色恐惧,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
178,人工智能/ArtificialIntelligence:AI/AI人工智慧,8.6,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
179,模仿游戏/TheImitationGame/解码游戏(港)/模拟游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
180,一个叫欧维的男人决定去死/EnmansomheterOve/明天别再来敲门(台)/想死冇咁易(港),8.8,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
181,穿越时空的少女/時をかける少女/跳跃吧！时空少女(台)/Tokiokakerushôjo,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
182,魂断蓝桥/WaterlooBridge/滑铁卢桥/断桥残梦,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
183,房间/Room/不存在的房间(台)/抖室(港),8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
